"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,003,488400,4649,+40.363546,-079.865760"
"42,003,488500,2742,+40.357858,-079.927369"
"42,003,488600,4600,+40.341836,-079.922352"
"42,003,489001,4703,+40.331267,-079.953231"
"42,003,489002,3801,+40.330471,-079.965776"
"42,003,490002,5102,+40.294437,-080.015817"
"42,003,490003,3679,+40.320609,-079.989925"
"42,003,490004,4946,+40.288260,-079.982729"
"42,003,491101,7681,+40.302809,-079.957098"
"42,003,491200,2114,+40.312479,-079.918973"
"42,003,492700,1819,+40.307108,-079.892323"
"42,003,492800,2465,+40.291384,-079.883559"
"42,003,492900,1897,+40.288678,-079.893183"
"42,003,494000,1398,+40.269813,-079.887917"
"42,003,495000,3070,+40.229523,-079.893859"
"42,003,496101,3031,+40.272848,-079.820377"
"42,003,496102,4370,+40.257986,-079.849313"
"42,003,496200,5581,+40.301811,-079.812185"
"42,003,497000,932,+40.298377,-079.853842"
"42,003,498000,2355,+40.324333,-079.855400"
"42,003,499300,1678,+40.331547,-079.886907"
"42,003,499400,2797,+40.323637,-079.889268"
"42,003,500300,3680,+40.338424,-079.873070"
"42,003,501000,1476,+40.318398,-079.830950"
"42,003,503002,5846,+40.347585,-079.816449"
"42,003,504100,5026,+40.381573,-079.824750"
"42,003,507000,2076,+40.383862,-079.808203"
"42,003,508000,1781,+40.393904,-079.809274"
"42,003,509400,5114,+40.409464,-079.820247"
"42,003,510000,1927,+40.397697,-079.839864"
"42,003,512000,2073,+40.404805,-079.845016"
"42,003,513000,2247,+40.406218,-079.862353"
"42,003,513800,1721,+40.405201,-079.868825"
"42,003,514000,1896,+40.412375,-079.878512"
"42,003,515100,2566,+40.419027,-079.880072"
"42,003,515200,2034,+40.424853,-079.880135"
"42,003,515300,1734,+40.420014,-079.891091"
"42,003,515401,2290,+40.425851,-079.894265"
"42,003,516100,1406,+40.432643,-079.889304"
"42,003,516200,1739,+40.431445,-079.880853"
"42,003,517000,1730,+40.417177,-079.862737"
"42,003,518001,3286,+40.428486,-079.859910"
"42,003,519000,3157,+40.438365,-079.844420"
"42,003,520001,3258,+40.432021,-079.815764"
"42,003,520002,3092,+40.420162,-079.835055"
"42,003,521100,4551,+40.451197,-079.777396"
"42,003,521200,4521,+40.429340,-079.792591"
"42,003,521301,4216,+40.421253,-079.760698"
"42,003,521302,4516,+40.424679,-079.780619"
"42,003,521401,2924,+40.426084,-079.731162"
"42,003,521402,3855,+40.405831,-079.747927"
"42,003,521500,4083,+40.443623,-079.736462"
"42,003,522000,3101,+40.405266,-079.777074"
"42,003,523100,3805,+40.469037,-079.871925"
"42,003,523200,3743,+40.460709,-079.853924"
"42,003,523300,3807,+40.471750,-079.833974"
"42,003,523400,4921,+40.456137,-079.834967"
"42,003,523501,4703,+40.470202,-079.810095"
"42,003,523502,1497,+40.469948,-079.790124"
"42,003,523600,4852,+40.453914,-079.812614"
"42,003,523701,3868,+40.502826,-079.819660"
"42,003,523702,5176,+40.488809,-079.796277"
"42,003,523800,4687,+40.488023,-079.836436"
"42,003,524000,2492,+40.505098,-079.840067"
"42,003,525100,2003,+40.517676,-079.830703"
"42,003,525200,2536,+40.516663,-079.843548"
"42,003,525300,2219,+40.524278,-079.834857"
"42,003,526101,7410,+40.519724,-079.769996"
"42,003,526102,2327,+40.497782,-079.725844"
"42,003,526201,3704,+40.488457,-079.759023"
"42,003,526202,4649,+40.473670,-079.764954"
"42,003,526301,3989,+40.478493,-079.714860"
"42,003,526302,5065,+40.462491,-079.710634"
"42,003,550900,1467,+40.348309,-079.853373"
"42,003,551200,3391,+40.350587,-079.836025"
"42,003,551300,2347,+40.333928,-079.829809"
"42,003,551900,1330,+40.353444,-079.850341"
"42,003,552000,2294,+40.341744,-079.841055"
"42,003,552100,1175,+40.345240,-079.864770"
"42,003,552200,969,+40.348627,-079.876495"
"42,003,552300,1862,+40.341915,-079.850278"
"42,003,552400,2892,+40.334476,-079.840920"
"42,003,560400,1553,+40.442759,-079.890770"
"42,003,560500,2193,+40.437928,-079.891356"
"42,003,561400,4012,+40.449174,-079.862431"
"42,003,561500,2588,+40.440370,-079.868883"
"42,003,561900,1898,+40.468805,-079.893204"
"42,003,562000,3449,+40.451249,-079.952470"
"42,003,562300,3115,+40.407843,-079.937738"
"42,003,562400,2363,+40.414587,-080.001810"
"42,003,562500,2919,+40.456807,-080.052337"
"42,003,562600,2398,+40.443407,-080.039157"
"42,003,562700,1959,+40.451999,-080.008280"
"42,003,562800,1516,+40.424009,-080.067112"
"42,003,562901,1433,+40.412962,-079.943894"
"42,003,563000,2928,+40.453746,-080.075280"
"42,003,563100,3722,+40.432289,-080.050049"
"42,003,563201,301,+40.449125,-079.998934"
"42,003,563202,1903,+40.455160,-079.998722"
"42,003,563300,1546,+40.560245,-080.142352"
"42,003,563800,3881,+40.526713,-080.130476"
"42,003,563900,3891,+40.418083,-079.844691"
"42,003,564000,7121,+40.413462,-080.233060"
"42,003,564100,907,+40.428625,-080.088103"
"42,003,564200,2094,+40.328805,-079.794480"
"42,003,564400,5631,+40.373940,-079.797445"
"42,003,564500,3032,+40.274603,-079.915796"
"42,003,564700,2184,+40.438796,-079.880691"
"42,003,564800,1819,+40.446483,-079.879822"
"42,003,565100,2972,+40.456836,-080.010717"
"42,003,565200,2740,+40.456185,-080.023832"
"42,003,565300,1238,+40.385747,-079.924376"
"42,003,980000,0,+40.487566,-079.890830"
"42,003,980100,8,+40.485757,-079.909530"
"42,003,980300,0,+40.432550,-079.905722"
"42,003,980400,13,+40.478464,-080.021697"
"42,003,980500,18,+40.430965,-079.948342"
"42,003,980600,19,+40.452554,-080.027017"
"42,003,980700,29,+40.431565,-080.002130"
"42,003,980800,3,+40.434169,-079.968816"
"42,003,980900,0,+40.471674,-080.043350"
"42,003,981000,4,+40.473302,-079.949272"
"42,003,981100,0,+40.442037,-079.906325"
"42,003,981200,0,+40.446462,-080.011958"
"42,003,981800,314,+40.479349,-079.897814"
"42,003,982200,5022,+40.443978,-079.956125"
"42,005,950100,4712,+40.941721,-079.295473"
"42,005,950200,2070,+40.937341,-079.485546"
"42,005,950300,3276,+40.992838,-079.652076"
"42,005,950400,2295,+40.842342,-079.638899"
"42,005,950500,5342,+40.830244,-079.550038"
"42,005,950600,3248,+40.841536,-079.457560"
"42,005,950700,3679,+40.796724,-079.300845"
"42,005,950800,3789,+40.728769,-079.476241"
"42,005,950900,4922,+40.770423,-079.517444"
"42,005,951000,2859,+40.770395,-079.529730"
"42,005,951100,3921,+40.821989,-079.522678"
"42,005,951200,5753,+40.757224,-079.612546"
"42,005,951300,2411,+40.664248,-079.603351"
"42,005,951400,2472,+40.624309,-079.555958"
"42,005,951500,2867,+40.588148,-079.561043"
"42,005,951600,4605,+40.588338,-079.510326"
"42,005,951700,3452,+40.692453,-079.363136"
"42,005,951800,2149,+40.630058,-079.602372"
"42,005,951900,1736,+40.675586,-079.686113"
"42,007,600601,2067,+40.821666,-080.450623"
"42,007,600602,2680,+40.764296,-080.441294"
"42,007,600701,3372,+40.778126,-080.364202"
"42,007,600702,4670,+40.763061,-080.382494"
"42,007,601000,3768,+40.745822,-080.333255"
"42,007,601100,3076,+40.775615,-080.325799"
"42,007,601200,3200,+40.754801,-080.323369"
"42,007,601300,2729,+40.755480,-080.315597"
"42,007,601400,3244,+40.741166,-080.310466"
"42,007,601600,1300,+40.731685,-080.296826"
"42,007,601700,3262,+40.747590,-080.282566"
"42,007,601801,3561,+40.712708,-080.180019"
"42,007,601802,3622,+40.711647,-080.219673"
"42,007,602100,3472,+40.704909,-080.282514"
