"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030201004021","Block 4021, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004022","Block 4022, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004023","Block 4023, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004024","Block 4024, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004025","Block 4025, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004026","Block 4026, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004027","Block 4027, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004028","Block 4028, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004029","Block 4029, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004030","Block 4030, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004031","Block 4031, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004032","Block 4032, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004033","Block 4033, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004034","Block 4034, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004035","Block 4035, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004036","Block 4036, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004037","Block 4037, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004038","Block 4038, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004039","Block 4039, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004040","Block 4040, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004041","Block 4041, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004042","Block 4042, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004043","Block 4043, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","2","2","0",
"1000000US420030201004044","Block 4044, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004045","Block 4045, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","8","6","2",
"1000000US420030201004046","Block 4046, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004047","Block 4047, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004048","Block 4048, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004049","Block 4049, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004050","Block 4050, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
